Date,Close,High,Low,Open,Volume,ticker,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,RSI,MACD,MACD_signal,MACD_diff,BB_high,BB_low,BB_mid,BB_width,return_1d,return_5d,return_20d,log_return,volatility_10d,volatility_20d,volatility_30d,momentum,hl_range,volume_ma_10,volume_ma_20,volume_ratio,OBV,Close_lag_1,Close_lag_2,Close_lag_3,Volume_lag_1,Volume_lag_2,Volume_lag_3
2021-02-03,130.3842010498047,132.16562050861145,130.0629600142458,132.15587647941985,89880900,AAPL,129.92668266296386,124.74285034179688,98.67971229553223,131.97321614104305,129.5856773610663,51.75534217290279,2.387538779976751,2.727183119513498,-0.339644339536747,139.8647703809801,119.98859494494762,129.92668266296386,15.297993474975613,-0.007778241222205162,-0.06440359918761085,0.03500500401987083,-0.007808649525171228,0.023698014381505327,0.021763401611123372,0.020478221608707006,5.947792053222656,0.016126650908897176,115782310.0,109943120.0,0.817521824012271,3830210700,131.40631103515625,130.5789337158203,133.45059204101562,83305400.0,106239800.0,142621100.0
2021-02-04,133.74264526367188,133.75237444183827,131.01697515265897,132.6815855489559,84183100,AAPL,130.23721504211426,125.11977172851563,98.98608421325683,132.24543600606287,129.89360090940747,56.96108079944357,2.3518350966554067,2.6521135149418797,-0.30027841828647306,140.24447625275985,120.22995383146866,130.23721504211426,15.36774447673745,0.02575806107508627,-0.03287320018660722,0.04869873989239215,0.025431911022499722,0.022860214772345046,0.022300301243388235,0.02092535613613446,5.2177581787109375,0.020452708137980183,113768670.0,109269030.0,0.7704204933456442,3914393800,130.3842010498047,131.40631103515625,130.5789337158203,89880900.0,83305400.0,106239800.0
2021-02-05,133.32827758789062,133.97171978594034,132.45086722756864,133.90348403057772,75693800,AAPL,130.7416748046875,125.47653015136719,99.29390701293946,132.41202701865177,130.14802140410993,56.155959356483095,2.264005614541844,2.574491934861873,-0.31048632032002876,140.29382218571993,121.18952742365508,130.7416748046875,14.612245705590352,-0.0030982464490988404,-0.0009165523453609214,0.08186684824480217,-0.0031030559512128307,0.01985148927745521,0.020671163687334813,0.020920085003074844,0.09185791015625,0.011406826712879025,109322960.0,105299320.0,0.7188441482812994,3838700000,133.74264526367188,130.3842010498047,131.40631103515625,84183100.0,89880900.0,83305400.0
2021-02-08,133.47451782226562,133.52326614630692,131.53444758226135,132.61659492201852,71297200,AAPL,131.04318237304688,125.86152252197266,99.59960170745849,132.5754871422847,130.39442854619554,56.39023793370255,2.1810585960891444,2.495805267107327,-0.31474667101818277,140.54050463014212,121.54586011595161,131.04318237304688,14.494950572947435,0.0010968433480182949,0.02217497129167101,0.04731595075497519,0.0010962422548497926,0.019074502456087453,0.0194323100137363,0.020333203425121307,-1.9035186767578125,0.014900361480937355,105006740.0,103385270.0,0.6896262881549761,3909997200,133.32827758789062,133.74264526367188,130.3842010498047,75693800.0,84183100.0,89880900.0
2021-02-09,132.5970916748047,134.4201778248724,132.44111786524098,133.19178552172198,76774200,AAPL,131.2458183288574,126.29691360473633,99.90261043548584,132.57881091651853,130.55758877794437,54.50826762657279,2.02122213857416,2.400888641400694,-0.379666502826534,140.6940457530161,121.79759090469872,131.2458183288574,14.397757649671766,-0.006573735285032578,0.009061822299614386,0.031527783251371844,-0.006595437444618412,0.01615306314629737,0.01947690813452363,0.02032755497940763,-6.5287017822265625,0.014925364762034802,96922990.0,101966070.0,0.7529386981375276,3833223000,133.47451782226562,133.32827758789062,133.74264526367188,71297200.0,75693800.0,84183100.0
2021-02-10,131.9926300048828,133.55248682280848,131.0274669252529,133.0552748381974,73046600,AAPL,131.5676570892334,126.69451599121093,100.19680614471436,132.48862923780536,130.66388812808796,53.19124903350902,1.8247411097173938,2.285659135064034,-0.4609180253466403,140.65011761740777,122.48519656105901,131.5676570892334,13.806524687164362,-0.004558634448818211,0.012336072485221727,0.05126622902538447,-0.004569056709082229,0.016000050531647603,0.018645836798628638,0.020321930750604702,-7.3668212890625,0.019130006709178932,94388590.0,100599175.0,0.7261152986592584,3760176400,132.5970916748047,133.47451782226562,133.32827758789062,76774200.0,71297200.0,75693800.0
2021-02-11,131.73916625976562,132.9675435248031,130.41329236021338,132.4898338171174,64280000,AAPL,131.8855827331543,127.07030593872071,100.48196517944336,132.37332724118386,130.7435383600641,52.61714765130651,1.6297888811197652,2.1544850842751804,-0.5246962031554152,140.5132627508898,123.25790271541881,131.8855827331543,13.083583268069537,-0.0019202871032103497,-0.01498010600849431,0.05071366839251046,-0.0019221332182489126,0.016008464568899265,0.018652224385357134,0.01924134281979841,-6.549468994140625,0.019388699937216827,86732210.0,99215620.0,0.6478818556997376,3695896400,131.9926300048828,132.5970916748047,133.47451782226562,73046600.0,76774200.0,71297200.0
2021-02-12,131.97312927246094,132.12911793128706,130.33529298247856,130.97873504321333,60145100,AAPL,132.11348037719728,127.43987243652344,100.76744968414306,132.3117583229188,130.8346191683898,53.12012782167503,1.4771391545289987,2.0190158983259443,-0.5418767437969456,140.49403760517328,123.73292314922128,132.11348037719728,12.686907049982581,0.001775956379092225,-0.010163997765113009,0.03577244885531394,0.0017743812332131792,0.012008457704941303,0.01837610122027577,0.01908202078851208,-1.4774627685546875,0.013592349887416155,78484610.0,97791035.0,0.6150369509843105,3756041500,131.73916625976562,131.9926300048828,132.5970916748047,64280000.0,73046600.0,76774200.0
2021-02-16,129.8478546142578,132.5970843838598,129.4578829220419,132.0901434978276,80576300,AAPL,132.33148536682128,127.71903945922851,101.03430938720703,131.93269621389402,130.76152549771336,48.12284947685994,1.1711707161806544,1.8494468618968865,-0.6782761457162321,140.22389937913505,124.43907135450752,132.33148536682128,11.928248202513693,-0.016103843789408545,-0.027171202917077197,0.03474522114665968,-0.016234919805118767,0.01106813638008755,0.018425019867853765,0.01925293062612729,-0.7310791015625,0.024175997910351254,75918260.0,97308760.0,0.8280477523298005,3675465200,131.97312927246094,131.73916625976562,131.9926300048828,60145100.0,64280000.0,73046600.0
2021-02-17,127.55680847167969,128.9021846827299,126.22119084968794,127.95652384973054,97918500,AAPL,132.521089553833,127.88093414306641,101.29487728118896,131.25948271509182,130.5241390513405,43.38464368390858,0.7353436637513084,1.626626222267771,-0.8912825585164625,139.7341353934677,125.3080437141983,132.521089553833,10.885883694315089,-0.017644081601380313,-0.038012019264240915,0.030639455211997957,-0.01780159393291752,0.01198098857246771,0.018619170332983773,0.019476051930655037,-3.8495025634765625,0.02101803788574096,77379570.0,96624760.0,1.0133893217432053,3577546700,129.8478546142578,131.97312927246094,131.73916625976562,80576300.0,60145100.0,64280000.0
