step,portfolio_value
171,13296.789867279052
172,13296.433910247804
173,12997.056468841554
174,13167.32038485718
175,13235.425731536867
176,13257.063304779052
177,13163.416942474367
178,13266.993846771242
179,13303.883739349367
180,13306.721507904052
181,13285.794750091554
182,13328.711742279052
183,13355.672191497804
184,13172.28620516968
185,13162.707225677492
186,13068.353343841554
187,13061.615428802492
188,13307.786083099367
189,13346.805126068117
190,13594.390819427492
191,13660.368114349367
192,13796.57770907593
193,13860.424754974367
194,13832.048168060306
195,13988.121044036867
196,14158.38386141968
197,14081.764110443117
198,14166.541210052492
199,14296.364452239992
200,14378.304881927492
201,14344.960277435306
202,14550.337596771242
203,14510.257274505617
204,14119.719676849367
205,14339.64069735718
206,14603.54548251343
207,14405.97175204468
208,14400.296214935306
209,14703.927562591554
210,14706.058910247804
211,14934.489940521242
212,14746.848949310306
213,14429.73737704468
214,14569.040721771242
215,14464.918895599367
216,14376.077953216554
217,14330.945018646242
218,14309.266795989992
219,14645.79890048218
220,14599.246532318117
221,14499.744457122804
222,14497.613109466554
223,14506.141795989992
224,14716.52009188843
225,14782.616039154052
226,14762.005687591554
227,14325.970409271242
228,14306.068675872804
229,14556.604198333742
230,14452.837230560306
231,14392.424510833742
232,14774.798168060306
233,14768.403026458742
234,15128.034984466554
235,14815.310253021242
236,14847.29255282593
237,14992.638378021242
238,15128.38874423218
239,15275.511058685306
240,15253.12311923218
241,15044.16755282593
242,15001.16706454468
243,14993.34919345093
244,14968.117992279052
245,15104.93513095093
246,14993.704051849367
247,14958.524730560306
248,14867.194286224367
249,15138.695018646242
250,15105.645946380617
251,15165.703807708742
252,15058.381664154052
253,15224.33893954468
254,15010.051708099367
255,14716.52009188843
256,14749.924022552492
257,14652.552196380617
258,14383.53767001343
259,14200.525218841554
260,14265.912547943117
261,14500.811229583742
262,14553.760936614992
263,14197.68415438843
264,14456.391307708742
265,14311.755199310306
266,13852.620067474367
267,14051.982372161867
268,14155.038524505617
269,14468.471874114992
270,14712.96491610718
271,14563.711253997804
272,14606.355785247804
273,14669.609569427492
274,14755.60944735718
275,14719.361156341554
276,14820.284862396242
277,15079.10407626343
278,15004.696971771242
279,14976.929027435306
280,15159.561351654052
281,15291.28522860718
282,15343.974559661867
283,15218.660106536867
284,15331.159007904052
285,15336.853221771242
286,15295.913768646242
287,14779.701366302492
288,14796.07868563843
289,14738.759715911867
290,14829.54304110718
291,15112.213573333742
292,15130.368480560306
293,15106.51716220093
294,15249.632762786867
295,15405.467402435304
296,15391.073810119633
297,15407.16873504639
298,15441.434939880375
299,15642.182925720219
300,15571.921237487797
301,15549.770663757326
302,15690.986178894047
303,15617.95700408936
304,15731.48269989014
305,15773.363498229985
306,15797.245486755375
307,15593.035739440922
308,15931.539615173344
309,16019.800113220219
310,16071.370852966313
311,16290.204033508306
312,16290.204033508306
313,16290.204033508306
314,16274.988389923103
315,15897.165184417732
316,15857.362938323982
317,15871.553917327888
318,15717.876701751717
319,15510.203056732185
320,15401.176262298592
321,15288.342705169685
322,15490.129967132576
323,15556.238823333748
324,15004.175987640388
325,14640.754051605232
326,14878.536796966562
327,14929.070396820076
328,14797.19875375367
329,14639.02477304078
330,14596.10256234742
331,14297.749138275154
332,13836.025352874763
333,13990.395775238045
334,13949.553184906013
335,14097.000084320076
336,14212.256126800545
337,14239.60094491578
338,14488.807182708748
339,14587.449760833748
340,14758.049126068121
341,14669.28127328492
342,14775.38463632203
343,14888.770409027107
344,14865.886040130621
345,14568.032493988045
346,14611.029472747812
347,14496.60549203492
348,14508.740349212654
349,14396.395988861092
350,14483.775291839607
351,14623.164329925545
352,14356.173973480232
353,14337.449913421638
354,14319.766197601326
355,14087.795067230232
356,14227.185173431404
357,14521.222343841562
358,14827.743645111092
359,14965.054130950935
360,15089.534416595467
361,15115.54088632203
362,15247.649650970467
363,15097.162895599371
364,15370.396385589607
365,15251.809959808357
366,15190.784264007576
367,15040.297508636482
368,15142.239494720467
369,15114.500542083748
370,15000.421562591562
371,15079.478111663826
372,14746.258201995857
373,14622.819328704842
374,14602.361717620857
375,14585.717277923592
376,14359.642143646248
377,14538.907127777107
378,14634.260979095467
379,14578.088798919685
380,14594.732170501717
381,14692.513847747812
382,14678.643303314217
383,14587.79689828492
384,14608.602714935312
385,14658.532829681404
386,14680.032921234138
387,14982.738914886482
388,14881.836204925545
389,14886.342583099371
390,15004.929008880621
391,14950.837517181404
392,15136.692772308357
393,15156.802177825935
394,14249.030266204842
395,14388.420372406013
396,14322.190819183357
397,14426.215629974371
398,14728.57555429078
399,14910.615501800545
400,14810.407066741951
401,14653.332176605232
402,14827.397575775154
403,14902.642021575935
404,14961.240959564217
405,14548.962364593513
406,14575.314903656013
407,14645.704765716562
408,14565.952873626717
409,14503.760795989998
410,14647.253532806404
411,14709.444542327888
412,15029.086571136482
413,14855.368309417732
414,14871.697655120857
415,15132.971458831795
416,15140.613823333748
417,15356.72023812867
418,15537.385521331795
419,15570.392418304451
420,15655.513725677498
421,15562.05471078492
422,15758.704338470467
423,15778.508263031013
424,15698.94435922242
425,15849.038048187263
426,15948.751945892342
427,15355.678825775154
428,15343.169060150154
429,15328.230400482185
430,15281.326256195076
431,15423.079033294685
432,15365.471452575692
433,15350.940623718272
